customerID,tenure,Contract,InternetService,PhoneService,MultipleLines,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies
8865-TNMNX,10,One year,DSL,Yes,No,No,Yes,No,No,No,No
9489-DEDVP,70,Two year,DSL,Yes,Yes,Yes,Yes,No,No,Yes,No
9867-JCZSP,17,One year,No,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
4671-VJLCL,63,Two year,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
4080-IIARD,13,Month-to-month,DSL,Yes,Yes,Yes,Yes,No,Yes,Yes,No
3714-NTNFO,49,Month-to-month,Fiber optic,Yes,Yes,No,No,No,No,No,Yes
5948-UJZLF,2,Month-to-month,DSL,Yes,No,No,Yes,No,No,No,No
7760-OYPDY,2,Month-to-month,Fiber optic,Yes,No,No,No,No,No,Yes,No
7639-LIAYI,52,Two year,DSL,Yes,Yes,Yes,No,No,Yes,Yes,Yes
2954-PIBKO,69,Two year,DSL,Yes,Yes,Yes,No,Yes,Yes,No,No
8012-SOUDQ,43,Month-to-month,Fiber optic,Yes,Yes,No,Yes,No,No,Yes,No
9420-LOJKX,15,Month-to-month,Fiber optic,Yes,No,Yes,Yes,No,No,Yes,Yes
6575-SUVOI,25,Month-to-month,DSL,Yes,Yes,Yes,No,No,Yes,Yes,No
7495-OOKFY,8,Month-to-month,Fiber optic,Yes,Yes,No,Yes,No,No,No,No
4667-QONEA,60,One year,DSL,Yes,No,Yes,Yes,Yes,Yes,No,Yes
1658-BYGOY,18,Month-to-month,Fiber optic,Yes,Yes,No,No,No,No,Yes,Yes
8769-KKTPH,63,One year,Fiber optic,Yes,Yes,Yes,No,No,No,Yes,Yes
5067-XJQFU,66,One year,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes
3957-SQXML,34,Two year,No,Yes,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
5954-BDFSG,72,Two year,Fiber optic,Yes,Yes,No,No,Yes,Yes,Yes,Yes
0434-CSFON,47,Month-to-month,Fiber optic,Yes,Yes,No,No,Yes,No,Yes,Yes
1215-FIGMP,60,Month-to-month,Fiber optic,Yes,Yes,No,Yes,No,No,Yes,No
0526-SXDJP,72,Two year,DSL,No,No phone service,Yes,Yes,Yes,No,No,No
0557-ASKVU,18,One year,DSL,Yes,No,No,No,Yes,Yes,No,No
5698-BQJOH,9,Month-to-month,Fiber optic,Yes,Yes,No,No,No,No,Yes,Yes
5122-CYFXA,3,Month-to-month,DSL,Yes,No,No,Yes,No,Yes,Yes,Yes
8627-ZYGSZ,47,One year,Fiber optic,Yes,Yes,No,Yes,No,No,No,No
3410-YOQBQ,31,Two year,DSL,Yes,No,No,Yes,Yes,Yes,Yes,Yes
3170-NMYVV,50,Two year,No,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
7410-OIEDU,10,Month-to-month,Fiber optic,Yes,No,Yes,No,Yes,No,No,No
2273-QCKXA,1,Month-to-month,DSL,Yes,No,No,No,No,Yes,No,No
0731-EBJQB,52,One year,No,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
1891-QRQSA,64,Two year,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
8028-PNXHQ,62,Two year,No,Yes,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
5630-AHZIL,3,Month-to-month,DSL,Yes,No,Yes,No,No,Yes,No,Yes
2673-CXQEU,56,One year,Fiber optic,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
6416-JNVRK,46,One year,DSL,Yes,No,No,No,No,No,No,Yes
5590-ZSKRV,8,Month-to-month,DSL,Yes,No,Yes,Yes,No,No,No,No
0191-ZHSKZ,30,Month-to-month,DSL,Yes,No,Yes,Yes,No,No,Yes,Yes
3887-PBQAO,45,One year,No,Yes,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
5919-TMRGD,1,Month-to-month,Fiber optic,Yes,No,No,No,No,No,Yes,No
8108-UXRQN,11,Month-to-month,DSL,No,No phone service,Yes,No,No,No,Yes,Yes
9191-MYQKX,7,Month-to-month,Fiber optic,Yes,No,No,No,Yes,No,No,No
9919-YLNNG,42,Month-to-month,Fiber optic,Yes,No,No,Yes,Yes,Yes,Yes,Yes
0318-ZOPWS,49,Two year,No,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
4445-ZJNMU,9,Month-to-month,Fiber optic,Yes,Yes,No,Yes,No,No,Yes,Yes
4808-YNLEU,35,One year,DSL,Yes,No,Yes,No,No,No,Yes,No
1862-QRWPE,48,Two year,No,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
2796-NNUFI,46,Two year,No,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
3016-KSVCP,29,Month-to-month,DSL,No,No phone service,No,No,No,No,Yes,No
4767-HZZHQ,30,Month-to-month,Fiber optic,Yes,No,No,Yes,Yes,No,No,No
2424-WVHPL,1,Month-to-month,Fiber optic,Yes,No,No,No,No,Yes,No,No
7233-PAHHL,66,Two year,DSL,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
6067-NGCEU,65,Month-to-month,Fiber optic,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
9848-JQJTX,72,Two year,Fiber optic,Yes,Yes,No,Yes,Yes,No,Yes,Yes
8637-XJIVR,12,Month-to-month,Fiber optic,Yes,Yes,Yes,No,No,No,No,No
9803-FTJCG,71,One year,DSL,Yes,Yes,Yes,Yes,No,Yes,No,No
0278-YXOOG,5,Month-to-month,No,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
3212-KXOCR,52,Two year,No,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
4598-XLKNJ,25,Month-to-month,Fiber optic,Yes,No,No,Yes,Yes,No,Yes,Yes
6380-ARCEH,1,Month-to-month,No,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
3679-XASPY,1,Month-to-month,No,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
7123-WQUHX,38,One year,Fiber optic,Yes,Yes,No,No,Yes,Yes,Yes,No
5386-THSLQ,66,One year,DSL,No,No phone service,No,Yes,Yes,No,Yes,No
3192-NQECA,68,Two year,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes
6180-YBIQI,5,Month-to-month,DSL,No,No phone service,No,No,No,No,No,No
6728-DKUCO,72,One year,Fiber optic,Yes,Yes,Yes,Yes,No,No,Yes,Yes
9750-BOOHV,32,One year,DSL,No,No phone service,Yes,No,No,No,No,No
8597-CWYHH,43,One year,Fiber optic,Yes,Yes,No,No,No,No,Yes,Yes
2848-YXSMW,72,Two year,No,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
0486-HECZI,55,Month-to-month,Fiber optic,Yes,Yes,Yes,Yes,No,No,Yes,No
4549-ZDQYY,52,One year,DSL,Yes,No,Yes,No,Yes,Yes,No,No
5712-AHQNN,43,Month-to-month,Fiber optic,Yes,No,No,Yes,Yes,No,Yes,No
4846-WHAFZ,37,Month-to-month,Fiber optic,Yes,Yes,No,No,No,No,No,No
5256-SKJGO,64,Two year,DSL,No,No phone service,No,Yes,No,Yes,Yes,Yes
3071-VBYPO,3,Month-to-month,Fiber optic,Yes,No,Yes,Yes,No,No,Yes,No
9560-BBZXK,36,Two year,DSL,No,No phone service,Yes,No,No,No,No,No
5299-RULOA,10,Month-to-month,Fiber optic,Yes,Yes,Yes,No,No,No,Yes,Yes
8402-OOOHJ,41,Two year,No,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
9445-ZUEQE,27,Month-to-month,Fiber optic,Yes,Yes,No,Yes,No,Yes,No,No
1091-SOZGA,56,One year,Fiber optic,Yes,Yes,No,No,Yes,No,Yes,Yes
2928-HLDBA,6,Month-to-month,No,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
0404-SWRVG,3,Month-to-month,Fiber optic,Yes,Yes,No,No,No,No,No,No
6497-TILVL,7,Month-to-month,DSL,Yes,No,Yes,No,No,No,No,No
7219-TLZHO,4,Month-to-month,No,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
4622-YNKIJ,33,Two year,Fiber optic,Yes,No,Yes,No,No,Yes,Yes,No
4412-YLTKF,27,Month-to-month,Fiber optic,Yes,Yes,No,No,Yes,No,No,No
6734-PSBAW,72,Two year,No,Yes,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
3930-ZGWVE,1,Month-to-month,No,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
2639-UGMAZ,71,One year,DSL,No,No phone service,Yes,Yes,No,No,Yes,Yes
2876-GZYZC,13,Month-to-month,Fiber optic,Yes,Yes,No,No,No,No,No,Yes
6207-WIOLX,25,Month-to-month,DSL,No,No phone service,Yes,Yes,Yes,No,Yes,Yes
8587-XYZSF,67,Two year,DSL,Yes,No,No,No,No,Yes,No,No
3091-FYHKI,1,Month-to-month,DSL,No,No phone service,No,No,No,No,No,Yes
2372-HWUHI,2,Month-to-month,DSL,Yes,No,No,No,No,No,No,No
7799-LGRDP,43,Two year,No,Yes,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
7850-VWJUU,23,Month-to-month,Fiber optic,Yes,No,Yes,No,No,No,No,No
3774-VBNXY,64,Two year,No,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
6217-KDYWC,57,Two year,No,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
0390-DCFDQ,1,Month-to-month,Fiber optic,Yes,No,No,No,No,No,No,No
3146-MSEGF,72,Two year,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
4080-OGPJL,8,Month-to-month,DSL,Yes,Yes,Yes,No,No,Yes,No,Yes
1095-WGNGG,61,Two year,Fiber optic,Yes,Yes,No,Yes,No,No,Yes,Yes
2636-SJDOU,64,One year,Fiber optic,Yes,Yes,Yes,Yes,No,No,No,No
1131-QQZEB,71,Two year,No,Yes,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
5716-EZXZN,65,Two year,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,Yes,No
6837-BJYDQ,3,One year,No,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
2135-RXIHG,1,Month-to-month,DSL,Yes,No,No,No,No,No,No,No
6440-DKQGE,30,One year,DSL,Yes,No,No,Yes,Yes,No,Yes,No
3466-BYAVD,15,Month-to-month,DSL,Yes,No,No,Yes,Yes,Yes,No,Yes
3780-YVMFA,8,Month-to-month,DSL,Yes,No,No,No,No,Yes,Yes,Yes
3874-EQOEP,7,Month-to-month,Fiber optic,Yes,Yes,No,No,No,No,Yes,Yes
1679-JRFBR,70,One year,Fiber optic,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
9073-ZZIAY,62,Two year,DSL,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
3077-RSNTJ,6,Month-to-month,No,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
6551-GNYDG,14,Month-to-month,Fiber optic,Yes,No,No,No,No,No,No,Yes
9167-APMXZ,22,Month-to-month,Fiber optic,Yes,Yes,No,No,No,No,Yes,No
2749-CTKAJ,22,One year,No,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
6371-NZYEG,16,Two year,DSL,Yes,No,Yes,No,Yes,No,Yes,No
7554-NEWDD,10,Two year,No,Yes,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
8992-VONJD,13,Month-to-month,DSL,Yes,No,Yes,Yes,No,No,No,No
0867-MKZVY,20,Month-to-month,Fiber optic,Yes,Yes,Yes,No,No,No,No,No
4482-EWFMI,2,Month-to-month,Fiber optic,Yes,No,No,No,No,No,No,No
4648-YPBTM,53,Two year,DSL,Yes,Yes,No,Yes,Yes,Yes,No,Yes
2907-ILJBN,11,One year,No,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
6345-FZOQH,69,Two year,No,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
3376-BMGFE,4,Month-to-month,Fiber optic,Yes,No,No,No,No,No,No,No
5997-OPVFA,72,Two year,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
3445-HXXGF,58,Month-to-month,DSL,No,No phone service,No,Yes,Yes,No,No,Yes
1159-WFSGR,16,Month-to-month,No,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
7654-YWJUF,43,One year,Fiber optic,Yes,No,Yes,No,Yes,Yes,No,No
1875-QIVME,2,Month-to-month,Fiber optic,Yes,Yes,No,No,Yes,Yes,Yes,Yes
6727-IOTLZ,14,Two year,DSL,Yes,No,No,Yes,Yes,Yes,Yes,Yes
0691-JVSYA,53,One year,Fiber optic,Yes,No,No,No,Yes,No,Yes,Yes
5918-VUKWP,32,One year,No,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
1744-JHKYS,34,Month-to-month,No,Yes,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
2656-FMOKZ,15,Month-to-month,Fiber optic,Yes,Yes,No,No,No,No,No,No
2070-FNEXE,7,Month-to-month,Fiber optic,Yes,No,Yes,No,No,No,No,No
5947-SGKCL,15,Month-to-month,Fiber optic,Yes,Yes,No,Yes,Yes,No,Yes,Yes
3712-PKXZA,61,One year,No,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
6317-YPKDH,1,Month-to-month,DSL,No,No phone service,No,Yes,No,No,No,No
6582-OIVSP,1,Month-to-month,DSL,Yes,No,No,No,No,No,No,No
9367-WXLCH,8,Month-to-month,Fiber optic,Yes,Yes,No,No,No,No,No,Yes
5524-KHNJP,33,One year,DSL,Yes,No,Yes,No,Yes,No,Yes,Yes
1918-ZBFQJ,13,Month-to-month,Fiber optic,Yes,No,No,Yes,Yes,No,No,No
1024-GUALD,1,Month-to-month,DSL,No,No phone service,No,No,No,No,No,No
4827-USJHP,20,Month-to-month,DSL,Yes,No,No,Yes,No,No,No,No
8167-GJLRN,3,Month-to-month,DSL,No,No phone service,No,No,No,Yes,No,No
0956-SYCWG,13,One year,No,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
8017-UVSZU,40,Month-to-month,DSL,Yes,Yes,No,Yes,No,No,No,No
7100-FQPRV,43,One year,DSL,Yes,Yes,Yes,No,No,Yes,No,Yes
2472-OVKUP,6,Month-to-month,Fiber optic,Yes,No,No,Yes,Yes,No,No,Yes
2984-RGEYA,69,Two year,No,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
9680-NIAUV,72,Two year,Fiber optic,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
2146-EGVDT,59,Two year,No,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
2604-IJPDU,20,Month-to-month,Fiber optic,Yes,No,Yes,Yes,No,Yes,Yes,No
9178-JHUVJ,24,Two year,No,Yes,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
6168-YBYNP,59,Month-to-month,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes
7255-SSFBC,72,Two year,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes
3645-DEYGF,1,Month-to-month,No,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
9323-HGFWY,27,One year,Fiber optic,Yes,No,Yes,No,No,Yes,Yes,Yes
8544-GOQSH,14,Month-to-month,Fiber optic,Yes,No,No,Yes,No,Yes,No,No
3363-DTIVD,71,Two year,Fiber optic,Yes,Yes,Yes,No,Yes,No,Yes,Yes
7018-WBJNK,13,Month-to-month,Fiber optic,Yes,No,No,No,No,No,Yes,No
9142-KZXOP,44,Month-to-month,Fiber optic,Yes,No,No,No,No,No,No,No
7674-YTAFD,33,One year,Fiber optic,Yes,No,No,Yes,No,Yes,No,No
6348-SNFUS,72,Two year,DSL,No,No phone service,Yes,Yes,Yes,Yes,No,Yes
1285-OKIPP,1,Month-to-month,Fiber optic,Yes,No,No,No,No,No,No,Yes
7825-ECJRF,19,Month-to-month,Fiber optic,Yes,No,Yes,No,Yes,Yes,Yes,Yes
1347-KTTTA,64,One year,Fiber optic,Yes,No,No,Yes,Yes,Yes,Yes,Yes
7841-TZDMQ,2,Month-to-month,DSL,Yes,No,No,No,No,No,No,No
4195-NZGTA,1,Month-to-month,DSL,No,No phone service,No,No,No,No,No,No
7157-SMCFK,61,Two year,No,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
4709-LKHYG,29,One year,No,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
2504-DSHIH,23,Month-to-month,Fiber optic,Yes,Yes,No,No,No,No,No,Yes
0699-NDKJM,57,Month-to-month,DSL,No,No phone service,Yes,Yes,Yes,No,Yes,Yes
9286-BHDQG,72,Two year,DSL,No,No phone service,Yes,Yes,Yes,Yes,No,No
0230-WEQUW,66,Two year,DSL,No,No phone service,Yes,Yes,Yes,Yes,Yes,No
2040-LDIWQ,65,Two year,DSL,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes
6496-JDSSB,8,Month-to-month,Fiber optic,Yes,No,No,No,No,No,Yes,No
9408-SSNVZ,4,Month-to-month,Fiber optic,Yes,No,No,No,No,No,No,No
4443-EMBNA,71,Two year,No,Yes,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
6469-MRVET,1,One year,No,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
0742-MOABM,4,Month-to-month,DSL,Yes,No,No,No,No,Yes,No,No
5961-VUSRV,12,One year,No,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
6778-JFCMK,24,One year,DSL,No,No phone service,Yes,No,No,No,Yes,Yes
6341-JVQGF,31,One year,DSL,Yes,No,Yes,No,Yes,Yes,Yes,Yes
2232-DMLXU,1,Month-to-month,DSL,Yes,No,No,No,No,No,Yes,No
4811-JBUVU,30,Month-to-month,Fiber optic,Yes,Yes,No,No,No,Yes,No,Yes
0945-TSONX,47,Two year,DSL,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
2651-ZCBXV,54,Two year,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
3316-UWXUY,50,Month-to-month,Fiber optic,Yes,No,Yes,Yes,No,Yes,No,Yes
8937-RDTHP,1,Month-to-month,Fiber optic,Yes,No,Yes,No,No,No,No,Yes
7083-MIOPC,72,Two year,No,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
1984-GPTEH,29,Month-to-month,No,Yes,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
1251-KRREG,2,Month-to-month,DSL,Yes,Yes,No,Yes,No,No,No,No
0621-JFHOL,10,Two year,DSL,No,No phone service,No,No,No,Yes,No,No
9903-LYSAB,18,Month-to-month,Fiber optic,Yes,Yes,No,No,No,No,No,No
0094-OIFMO,11,Month-to-month,Fiber optic,Yes,No,No,Yes,No,No,Yes,Yes
9227-UAQFT,16,Two year,No,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
7301-ABVAD,72,Two year,DSL,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes
6614-FHDBO,72,Two year,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes
7576-ASEJU,41,One year,DSL,Yes,No,Yes,No,No,Yes,Yes,Yes
9058-HRZSV,65,Month-to-month,Fiber optic,Yes,No,Yes,Yes,Yes,No,No,Yes
4522-AKYLR,13,Month-to-month,DSL,Yes,No,No,Yes,Yes,No,No,No
0221-WMXNQ,4,Month-to-month,Fiber optic,Yes,No,Yes,No,No,No,No,No
0303-UNCIP,41,One year,DSL,Yes,Yes,No,No,Yes,No,No,Yes
9947-OTFQU,15,Month-to-month,Fiber optic,Yes,No,No,Yes,No,No,No,No
0322-YINQP,1,Month-to-month,DSL,Yes,No,Yes,No,No,No,No,No
0959-WHOKV,42,One year,Fiber optic,Yes,Yes,Yes,Yes,Yes,No,No,Yes
4075-JFPGR,51,One year,Fiber optic,Yes,No,Yes,Yes,Yes,No,Yes,No
4629-NRXKX,2,Month-to-month,Fiber optic,Yes,No,No,No,No,No,No,No
9514-JDSKI,1,Month-to-month,DSL,No,No phone service,No,Yes,No,No,Yes,No
3282-ZISZV,32,One year,DSL,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes
3675-YDUPJ,10,Month-to-month,No,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
4111-BNXIF,67,Two year,DSL,No,No phone service,No,Yes,Yes,Yes,Yes,Yes
7017-VFHAY,61,Two year,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
6655-LHBYW,50,One year,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
4959-JOSRX,2,Month-to-month,DSL,Yes,No,No,No,No,No,No,No
5046-NUHWD,29,Month-to-month,DSL,No,No phone service,Yes,No,Yes,No,No,Yes
7273-TEFQD,3,Month-to-month,DSL,No,No phone service,No,No,Yes,No,No,Yes
3606-TWKGI,13,Month-to-month,Fiber optic,Yes,Yes,No,Yes,Yes,No,Yes,Yes
7529-ZDFXI,57,Month-to-month,Fiber optic,Yes,Yes,No,Yes,No,No,No,Yes
7605-BDWDC,31,Two year,DSL,No,No phone service,Yes,Yes,No,Yes,No,Yes
1950-KSVVJ,45,One year,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
0123-CRBRT,61,Two year,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
6292-TOSSS,50,Two year,No,Yes,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
3197-ARFOY,19,Month-to-month,Fiber optic,Yes,No,Yes,Yes,No,Yes,Yes,Yes
6323-AYBRX,59,Two year,No,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
7014-ZZXAW,71,Two year,No,Yes,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
4385-GZQXV,16,Month-to-month,Fiber optic,Yes,No,No,No,No,Yes,Yes,Yes
7633-MVPUY,57,Two year,DSL,Yes,No,Yes,Yes,No,Yes,No,No
6366-ZGQGL,1,Month-to-month,DSL,No,No phone service,No,No,No,No,No,No
4716-HHKQH,20,Month-to-month,Fiber optic,Yes,Yes,No,Yes,No,Yes,Yes,Yes
5940-AHUHD,1,Month-to-month,Fiber optic,Yes,No,No,No,No,No,No,No
6432-TWQLB,5,Month-to-month,Fiber optic,Yes,Yes,No,Yes,No,Yes,No,No
4484-GLZOU,52,Month-to-month,Fiber optic,Yes,Yes,No,Yes,Yes,No,Yes,Yes
3179-GBRWV,21,Month-to-month,DSL,Yes,No,Yes,Yes,No,No,No,Yes
8645-KWHJO,14,Month-to-month,DSL,No,No phone service,No,No,Yes,Yes,Yes,Yes
4130-MZLCC,5,Month-to-month,DSL,Yes,No,No,Yes,No,No,No,No
0314-TKOSI,6,Month-to-month,DSL,Yes,No,Yes,Yes,No,No,No,No
8229-MYEJZ,10,Month-to-month,DSL,Yes,No,No,Yes,No,No,No,No
2080-SRCDE,1,Month-to-month,No,Yes,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
9577-WJVCQ,68,Month-to-month,DSL,Yes,Yes,Yes,No,No,No,No,No
9512-UIBFX,18,Month-to-month,Fiber optic,Yes,No,No,No,Yes,No,Yes,Yes
6202-DYYFX,22,One year,Fiber optic,Yes,Yes,No,No,No,No,No,No
3808-HFKDE,20,Month-to-month,DSL,Yes,No,No,No,No,No,No,No
5583-SXDAG,1,Month-to-month,Fiber optic,Yes,No,No,No,No,No,No,No
